No.,企業名,カテゴリ,運営会社,都道府県,住所詳細,担当部署,代表電話,メールアドレス,公式URL,規模・店舗数,主要サービス,営業状況,PRTIMES掲載実績,収集状況,備考
80,エム・テクニック,美容機器（業務用）,株式会社エム・テクニック,,大阪府泉佐野市りんくう往来北1-29,マーケティング・広報部,072-460-1008,info@m-technique.co.jp,https://www.m-technique.co.jp/,業務用メーカー,業務用美容機器・乳化機,営業中,✓,収集済み,サロン向けB2B・PR有
81,プロラボホールディングス,美容機器・インナーケア,株式会社プロラボホールディングス,,東京都港区南青山3-8-40 青山センタービル5F,マーケティング・広報部,03-5413-7753,フォームより,https://prolab.co.jp/,業務用,プロ向けインナーケア・エステ機器,営業中,✓,収集済み,PR活発
82,シャープ（美容家電）,美容機器メーカー,シャープ株式会社,,大阪府堺市堺区匠町1,マーケティング・広報部,0570-073-001,フォームより,https://jp.sharp/,国内外展開,プラズマクラスター・美容家電,営業中,✓,収集済み,PR活発
83,アプロス（業務用脱毛機）,美容機器（業務用）,株式会社アプロス,,東京都新宿区西新宿1-26-2 新宿野村ビル34F,マーケティング・広報部,03-5909-2250,フォームより,https://aplos.co.jp/,業務用,業務用脱毛機・IPL機器,営業中,✓,収集済み,PR有・エステサロン向け
84,フォースカッター,美容機器（業務用）,株式会社アクアビューティ,,東京都千代田区一番町5-1 一番町KSビル,マーケティング・広報部,03-3512-1280,フォームより,https://www.forcecutter.jp/,業務用,業務用痩身機器,営業中,✓,収集済み,PR有・エステ機器代表格
85,タカラベルモント（美容機器）,美容機器・美容室向け,株式会社タカラベルモント,,大阪府大阪市中央区高麗橋4-6-12 KAWAMOTOビル,マーケティング・広報部,06-6206-0301,フォームより,https://www.takarabelmont.co.jp/,国内外展開,美容椅子・シャンプー台・ヘアケア機器,営業中,✓,収集済み,美容室向けNo.1・PR積極
86,シースター（電動歯ブラシ等）,美容・ヘルスケア機器,シースター株式会社,,大阪府大阪市淀川区西中島5-8-2,マーケティング・広報部,06-6309-3000,フォームより,https://www.c-star.co.jp/,国内展開,口腔ケア・ヘアケア機器,営業中,,収集済み,要確認
87,ヒロ・コーポレーション,美容商材卸,株式会社ヒロ・コーポレーション,,東京都中央区八重洲2-6-13 八重洲山田ビル6F,マーケティング・広報部,03-3272-7811,フォームより,https://www.hiro-corp.co.jp/,業務用卸,業務用化粧品・器材卸,営業中,,収集済み,エステ・美容室向け卸
88,東通産業,美容機器ディーラー,株式会社東通産業,,東京都台東区東上野4-14-3,マーケティング・広報部,03-3844-0001,フォームより,https://totsupro.co.jp/,業務用卸,エステ・美容機器卸・販売,営業中,,収集済み,業務用卸専門
89,アダム＆イブ,美容品卸,株式会社アダム＆イブ,,大阪府大阪市中央区日本橋2-4-1 日本橋ビル,マーケティング・広報部,06-6643-5800,フォームより,https://www.adam-eve.co.jp/,業務用卸,美容品・エステ商材卸,営業中,,収集済み,大阪中心の老舗卸
90,美容商事,美容品卸,株式会社美容商事,,大阪府大阪市北区南森町2-3-24,マーケティング・広報部,06-6357-1211,フォームより,,業務用卸,美容関連商材卸,営業中,,収集済み,要確認
91,アリミノ,ヘアケア卸・メーカー,株式会社アリミノ,,東京都台東区浅草橋4-20-8,マーケティング・広報部,03-3866-2031,フォームより,https://www.arimino.co.jp/,メーカー・卸,業務用ヘアカラー・ケア剤,営業中,✓,収集済み,美容室向けB2B・PR有
92,フィヨーレコスメティクス,美容室向けメーカー,フィヨーレコスメティクス株式会社,,兵庫県神戸市東灘区向洋町西6-9,マーケティング・広報部,078-845-3300,フォームより,https://www.fiyur.co.jp/,メーカー・卸,業務用ヘアカラー・パーマ剤,営業中,,収集済み,美容室向け商材
93,ナプラ,ヘアケアメーカー,株式会社ナプラ,,東京都港区芝浦4-8-3 明泉ビル4F,マーケティング・広報部,03-5445-1115,フォームより,https://www.napla.co.jp/,メーカー・卸,業務用ヘアケア・カラー剤,営業中,✓,収集済み,美容室向け・PR有
94,モルトベーネ,ヘアケアメーカー,株式会社モルトベーネ,,東京都千代田区有楽町1-7-1 有楽町電気ビル北館4F,マーケティング・広報部,03-3211-4141,フォームより,https://www.moltobene.com/,メーカー・卸,業務用ヘアケア,営業中,,収集済み,美容室向け
95,デミコスメティクス,ヘアケアメーカー,デミ コスメティクス株式会社,,大阪府大阪市中央区南船場3-11-10,マーケティング・広報部,06-6251-6171,フォームより,https://www.demi.co.jp/,メーカー・卸,業務用ヘアカラー・ケア,営業中,✓,収集済み,PR有
96,ジュピターコーポレーション（美容卸）,美容機器ディーラー,株式会社ジュピターコーポレーション,,東京都豊島区西池袋1-21-1 西池袋三晃ビル6F,マーケティング・広報部,03-5953-1191,フォームより,https://jupiter-corp.co.jp/,業務用卸,エステ・美容機器ディーラー,営業中,,収集済み,要確認
97,資生堂,化粧品メーカー,株式会社資生堂,,東京都港区東新橋1-6-2,マーケティング・広報部,0120-81-4710,フォームより,https://corp.shiseido.com/jp/,国内外展開,スキンケア・メイク・フレグランス,営業中,✓,収集済み,国内最大手・PR非常に活発
98,花王,化粧品・日用品メーカー,花王株式会社,,東京都中央区茅場町1-14-10,マーケティング・広報部,03-3660-7073,フォームより,https://www.kao.com/jp/,国内外展開,スキンケア・ヘアケア・洗剤,営業中,✓,収集済み,花王ソフィーナ等
99,コーセー,化粧品メーカー,株式会社コーセー,,東京都中央区日本橋1-3-11,マーケティング・広報部,03-3273-1511,フォームより,https://www.kose.co.jp/,国内外展開,コスメデコルテ・雪肌精等,営業中,✓,収集済み,PR非常に活発
100,ポーラ,化粧品メーカー,株式会社ポーラ,,東京都品川区西五反田2-2-3 ポーラ五反田第二ビル,マーケティング・広報部,03-3494-7017,フォームより,https://www.pola.co.jp/,国内外展開,高級スキンケア（POLA B.A等）,営業中,✓,収集済み,PR非常に活発
101,オルビス,化粧品メーカー,株式会社オルビス,,東京都品川区西五反田2-2-3,マーケティング・広報部,0120-010-010,フォームより,https://www.orbis.co.jp/,通販・直販,オイルカット化粧品,営業中,✓,収集済み,PR積極
102,ファンケル,化粧品・サプリメーカー,株式会社ファンケル,,神奈川県横浜市中区山下町89-1,マーケティング・広報部,0120-750-210,フォームより,https://www.fancl.co.jp/,国内外展開,無添加スキンケア・サプリ,営業中,✓,収集済み,PR積極・上場
103,ノエビア,化粧品メーカー,株式会社ノエビア,,兵庫県神戸市中央区港島中町7-7-7,マーケティング・広報部,078-303-4002,フォームより,https://www.noevir.co.jp/,訪問販売・通販,スキンケア・メイク,営業中,✓,収集済み,PR有
104,DHC,化粧品・サプリメーカー,株式会社DHC,,東京都港区南麻布2-7-1,マーケティング・広報部,0570-300-100,フォームより,https://www.dhc.co.jp/,通販・直販,スキンケア・サプリ・食品,営業中,✓,収集済み,PR積極
